T_action,Events,Failures,Winners,AllFail,AnyFail,MultiFail,Tickers,FailureTickers
2021-12-24,2,0,2,False,False,False,"0050,0050",
2021-12-27,3,1,2,False,True,False,"0050,2454,2882",2454
2021-12-28,2,0,2,False,False,False,"2330,2882",
2021-12-29,1,0,1,False,False,False,2882,
2022-01-04,1,0,1,False,False,False,2330,
2022-01-06,1,0,1,False,False,False,2882,
2022-02-17,1,1,0,True,True,False,2454,2454
2022-04-21,1,0,1,False,False,False,2603,
2022-05-04,2,2,0,True,True,True,"2603,2603","2603,2603"
2022-05-30,2,0,2,False,False,False,"2454,2454",
2022-05-31,2,2,0,True,True,True,"2330,2454","2330,2454"
2022-06-08,3,3,0,True,True,True,"0050,2330,2454","0050,2330,2454"
2022-08-11,3,3,0,True,True,True,"2882,2882,2882","2882,2882,2882"
2022-11-09,1,0,1,False,False,False,0050,
2022-11-11,2,0,2,False,False,False,"0050,0050",
2022-11-14,2,0,2,False,False,False,"2603,2603",
2022-12-22,1,1,0,True,True,False,2603,2603
2023-01-04,1,0,1,False,False,False,2382,
2023-01-10,1,0,1,False,False,False,2382,
2023-01-13,5,0,5,False,False,False,"2330,2882,2882,2882,2882",
2023-01-16,1,0,1,False,False,False,2382,
2023-01-30,1,0,1,False,False,False,2882,
2023-03-01,1,0,1,False,False,False,2603,
2023-03-06,1,1,0,True,True,False,2454,2454
2023-03-23,2,2,0,True,True,True,"0050,2330","0050,2330"
2023-03-30,3,3,0,True,True,True,"2330,2330,2330","2330,2330,2330"
2023-05-11,2,0,2,False,False,False,"2882,2882",
2023-05-16,1,0,1,False,False,False,2882,
2023-05-17,2,0,2,False,False,False,"2882,2882",
2023-05-18,2,0,2,False,False,False,"0050,2330",
2023-05-19,1,1,0,True,True,False,2882,2882
2023-05-22,2,0,2,False,False,False,"2454,2454",
2023-05-23,1,0,1,False,False,False,2454,
2023-05-25,1,0,1,False,False,False,2330,
2023-06-12,2,0,2,False,False,False,"2603,2603",
2023-06-14,2,2,0,True,True,True,"2603,2603","2603,2603"
2023-09-05,1,0,1,False,False,False,2454,
2023-09-12,1,1,0,True,True,False,2882,2882
2023-09-14,1,0,1,False,False,False,2603,
2023-09-15,1,1,0,True,True,False,2603,2603
2023-10-06,1,1,0,True,True,False,2382,2382
2023-11-15,1,1,0,True,True,False,2882,2882
2023-11-20,1,1,0,True,True,False,2382,2382
2023-11-21,4,4,0,True,True,True,"2382,2882,2882,2882","2382,2882,2882,2882"
2023-12-04,1,0,1,False,False,False,2603,
2023-12-08,1,0,1,False,False,False,2603,
2023-12-15,1,0,1,False,False,False,0050,
2023-12-19,1,1,0,True,True,False,2330,2330
2023-12-21,1,1,0,True,True,False,2382,2382
2023-12-27,3,3,0,True,True,True,"2330,2330,2330","2330,2330,2330"
2023-12-28,3,1,2,False,True,False,"2330,2382,2382",2330
2023-12-29,2,0,2,False,False,False,"2382,2382",
2024-01-19,2,0,2,False,False,False,"2330,2330",
2024-01-25,1,0,1,False,False,False,2330,
2024-02-15,2,0,2,False,False,False,"2454,2454",
2024-02-29,2,0,2,False,False,False,"2603,2603",
2024-03-07,3,0,3,False,False,False,"2882,2882,2882",
2024-03-22,1,0,1,False,False,False,2382,
2024-04-26,1,0,1,False,False,False,2603,
2024-06-19,3,3,0,True,True,True,"2382,2382,2382","2382,2382,2382"
2024-06-20,1,1,0,True,True,False,2382,2382
2024-08-13,1,0,1,False,False,False,2603,
2024-08-14,1,0,1,False,False,False,2603,
2024-08-16,2,0,2,False,False,False,"2603,2603",
2024-09-18,1,1,0,True,True,False,2603,2603
2024-09-19,1,0,1,False,False,False,2882,
2024-09-20,2,1,1,False,True,False,"2330,2603",2603
2024-09-23,1,0,1,False,False,False,2882,
2024-09-24,3,1,2,False,True,False,"0050,2330,2603",2603
2024-09-25,4,1,3,False,True,False,"0050,0050,2330,2603",2603
2024-10-09,2,0,2,False,False,False,"2382,2382",
2024-10-11,1,0,1,False,False,False,2382,
2025-01-07,2,2,0,True,True,True,"0050,2330","0050,2330"
2025-06-11,1,0,1,False,False,False,2330,
2025-07-09,2,0,2,False,False,False,"2454,2454",
2025-07-10,1,0,1,False,False,False,2454,
2025-08-12,1,1,0,True,True,False,2330,2330
2025-09-09,5,2,3,False,True,True,"0050,0050,2330,2454,2454","2454,2454"
2025-09-10,2,0,2,False,False,False,"0050,2330",
2025-09-11,1,0,1,False,False,False,2330,
2025-09-16,3,1,2,False,True,False,"0050,2330,2454",2454
2025-12-08,1,1,0,True,True,False,0050,0050
2025-12-10,1,1,0,True,True,False,2330,2330
2025-12-19,4,0,4,False,False,False,"2603,2603,2603,2603",
2025-12-23,1,0,1,False,False,False,2603,
2026-01-05,2,2,0,True,True,True,"2454,2454","2454,2454"
2026-02-10,1,0,1,False,False,False,2382,
2026-02-11,1,1,0,True,True,False,0050,0050
2026-02-24,1,1,0,True,True,False,0050,0050
2026-02-25,3,2,1,False,True,True,"2382,2382,2603","2382,2382"
2026-03-02,1,1,0,True,True,False,2382,2382
2026-04-09,2,0,2,False,False,False,"2330,2382",
2026-05-05,1,1,0,True,True,False,2603,2603
2026-05-06,1,0,1,False,False,False,2603,
