Size,Cluster,CoactiveDays,AnyDamageDays,JointDamageDays,AnyDamageRate,JointDamageRate,AvgDamagedMembers,MeanMemberMAE,MedianMemberMAE
2,2330+2882,46,15,4,32.608695652173914,8.695652173913043,0.41304347826086957,-1.4255434102989608,-1.1163845686839258
2,2454+2882,24,12,2,50.0,8.333333333333332,0.5833333333333334,-2.3220043814275932,-1.589086498469322
2,0050+2882,29,4,1,13.793103448275861,3.4482758620689653,0.1724137931034483,-1.1204178051014844,-0.9410509054250504
2,2603+2882,26,16,2,61.53846153846154,7.6923076923076925,0.6923076923076923,-3.4407416296383584,-2.060403095461305
2,2382+2882,22,10,1,45.45454545454545,4.545454545454546,0.5,-2.1066301785117427,-1.3022288839271257
2,2330+2454,52,34,12,65.38461538461539,23.076923076923077,0.8846153846153846,-3.7479468439812527,-2.644379087655796
2,0050+2330,91,32,14,35.16483516483517,15.384615384615385,0.5054945054945055,-1.6712451150458285,-1.3182674199623379
2,2330+2603,19,9,3,47.368421052631575,15.789473684210526,0.631578947368421,-2.7188795866763282,-1.52415496218552
2,2330+2382,37,14,2,37.83783783783784,5.405405405405405,0.43243243243243246,-1.3766542929401062,-1.0309400094473342
2,0050+2454,43,28,7,65.11627906976744,16.27906976744186,0.813953488372093,-3.9259900636107816,-2.582693894565502
2,2454+2603,14,13,4,92.85714285714286,28.57142857142857,1.2142857142857142,-3.443540128298296,-3.6474164133738607
2,0050+2603,35,21,7,60.0,20.0,0.8,-2.9710234950021874,-1.887766506068933
2,0050+2382,20,11,7,55.00000000000001,35.0,0.9,-3.053208508376181,-1.9969729546533088
2,2382+2603,16,9,4,56.25,25.0,0.8125,-2.6137056912837067,-2.347553554040899
3,2330+2454+2882,18,10,0,55.55555555555556,0.0,0.6666666666666666,-1.9398085824401619,-1.3759795881173709
3,0050+2330+2882,28,9,1,32.142857142857146,3.571428571428571,0.42857142857142855,-1.2601851095231609,-1.0783639681050616
3,2330+2603+2882,11,6,1,54.54545454545454,9.090909090909092,0.9090909090909091,-2.9003302722637065,-1.6129032258064502
3,2330+2382+2882,10,3,0,30.0,0.0,0.4,-0.7877210801179805,-0.5562456528314441
3,0050+2454+2882,18,9,0,50.0,0.0,0.5,-1.796019195878853,-1.0597760237103737
3,2454+2603+2882,3,3,1,100.0,33.33333333333333,2.0,-3.3875460453025954,-3.987073767199223
3,0050+2603+2882,9,5,1,55.55555555555556,11.11111111111111,0.8888888888888888,-3.2608858859842678,-1.9374000773854871
3,2382+2603+2882,1,1,0,100.0,0.0,1.0,-2.909491770251264,-2.9535864978902926
3,0050+2330+2454,42,29,7,69.04761904761905,16.666666666666664,1.1428571428571428,-3.2529399650920836,-2.30483393350705
3,0050+2330+2603,15,9,2,60.0,13.333333333333334,0.9333333333333333,-2.5153303434285443,-1.4084475059522483
3,0050+2330+2382,8,3,0,37.5,0.0,0.5,-1.207450277676261,-0.9280742459396807
3,2330+2382+2603,3,1,0,33.33333333333333,0.0,0.3333333333333333,-1.0102521383119043,0.0
3,0050+2382+2603,12,9,4,75.0,33.33333333333333,1.6666666666666667,-3.415593411258599,-3.2641313260242946
