Cluster,CoactiveDays,JointDamageDays,JointDamageRate,JointSevereDays,JointSevereRate,JointDamageAvgMAE,JointDamageMedianMAE,WorstMemberMeanMAE,WorstMemberMedianMAE
0050+2330,91,14,15.384615384615385,3,3.296703296703297,-4.477108617382197,-4.449474986121329,-4.923979896218711,-4.918646784196223
0050+2382,20,7,35.0,5,25.0,-6.76315692837896,-6.3243886055847405,-7.590170837034088,-6.962417029748435
0050+2454,43,7,16.27906976744186,2,4.651162790697675,-8.114236600166947,-6.041793607479357,-11.92625641618129,-6.88172043010753
0050+2603,35,7,20.0,1,2.857142857142857,-6.116313871466902,-7.080479431731162,-8.585032509572812,-9.015871078249004
0050+2882,29,1,3.4482758620689653,0,0.0,-3.494187108212632,-3.494187108212632,-3.660321944796252,-3.660321944796252
2330+2382,37,2,5.405405405405405,0,0.0,-4.249740501402883,-4.249740501402883,-5.295433785267822,-5.295433785267822
2330+2454,52,12,23.076923076923077,3,5.769230769230769,-7.67081373071051,-6.47614659014066,-10.936352305908542,-7.7327057086159945
2330+2603,19,3,15.789473684210526,1,5.263157894736842,-8.5548682806393,-8.439667128987516,-12.17960152218833,-11.694510739856801
2330+2882,46,4,8.695652173913043,1,2.1739130434782608,-4.750188286970173,-4.938201514485607,-5.294084693325038,-5.461309523809527
2382+2603,16,4,25.0,1,6.25,-5.29459493143507,-5.543913361621508,-6.589954830749205,-6.761210426445624
2382+2882,22,1,4.545454545454546,0,0.0,-4.414164706164037,-4.414164706164037,-5.1724137931034475,-5.1724137931034475
2454+2603,14,4,28.57142857142857,0,0.0,-4.283356935545539,-4.31540814196042,-4.793706027972114,-4.90837390001872
2454+2882,24,2,8.333333333333332,0,0.0,-4.995303262663237,-4.995303262663237,-5.746263403646257,-5.746263403646257
2603+2882,26,2,7.6923076923076925,0,0.0,-5.781112829769289,-5.781112829769289,-7.833330509925263,-7.833330509925263
